"WAR_YEAR","COUNTRY_GAINING","COUNTRY_LOSING","POP","AREA","CONSEQUENCE"
1953,"Cambodia","France",4440000,172511,"unknown process"
1954,"India","France",323000,503,"cession"
1953,"Laos","France",1505000,236800,"unknown process"
1954,"Vietnam","France",16100000,155203,"unknown process"
1955,"France","Libya",,26000,"cession"
1955,"China","Taiwan",300,1,"cession"
1955,"Australia","United Kingdom",500,14,"cession"
1956,"Morocco","France",8955000,380800,"unknown process"
1956,"Morocco","Spain",1045000,19656,"cession"
1956,"Tunisia","France",3963000,125180,"unknown process"
1956,"Sudan","United Kingdom",10300000,2505823,"unknown process"
1956,"Egypt","United Kingdom",,1,"cession"
1956,"Japan","Russia",,500,"cession"
1957,"Ghana","United Kingdom",6250000,204097,"unknown process"
1957,"Ghana","United Kingdom",429000,33776,"unification"
1957,"Malaysia","United Kingdom",6279000,131287,"unknown process"
1958,"Guinea","France",2896000,245857,"unknown process"
1958,"Morocco","Spain",9000,13219,"cession"
1958,"Egypt","Syria",29300000,1187338,"unification"
1958,"India","Pakistan",,1,"cession"
1958,"Pakistan","India",300,1,"cession"
1958,"Pakistan","Oman",8146,1,"cession"
1958,"Australia","United Kingdom",3361,135,"cession"
1960,"Honduras","Nicaragua",,20720,"cession"
1960,"Cyprus","United Kingdom",573000,9251,"unknown process"
1960,"Mali","France",7172000,1401182,"unknown process"
1960,"Senegal","Mali",3110000,197161,"secession"
1960,"Benin","France",2050000,115760,"unknown process"
1960,"Mauritania","France",970000,1085805,"unknown process"
1960,"Niger","France",2876000,1188794,"unknown process"
1960,"Côte d'Ivoire","France",3230000,322463,"unknown process"
1960,"Burkina Faso","France",4400000,274200,"unknown process"
1960,"Togo","France",1440000,56600,"unknown process"
1960,"Cameroon","France",4700000,432012,"unknown process"
1960,"Nigeria","United Kingdom",52000000,878447,"unknown process"
1960,"Gabon","France",446000,267000,"unknown process"
1960,"Central African Republic","France",1227000,626000,"unknown process"
1960,"Chad","France",3070000,1283000,"unknown process"
1960,"Congo - Brazzaville","France",773000,342000,"unknown process"
1960,"Congo - Kinshasa","Belgium",14100000,2344932,"unknown process"
1960,"Somalia","Italy",1330000,461541,"unknown process"
1960,"Somalia","United Kingdom",650000,176120,"unification"
1960,"Madagascar","France",5393000,590000,"unknown process"
1961,"Benin","Portugal",12,2,"conquest"
1961,"Sierra Leone","United Kingdom",2252000,72326,"unknown process"
1961,"Cameroon","United Kingdom",840000,42945,"unification"
1961,"Nigeria","United Kingdom",,45325,"unification"
1961,"Tanzania","United Kingdom",9399000,939361,"unknown process"
1961,"Syria","Egypt",4693000,184920,"secession"
1961,"Kuwait","United Kingdom",322000,15540,"unknown process"
1961,"China","Myanmar",0,161,"cession"
1961,"India","Portugal",649660,4193,"conquest"
1961,"Nepal","China",31200,780,"cession"
1962,"Jamaica","United Kingdom",1661000,11424,"unknown process"
1962,"Trinidad & Tobago","United Kingdom",900000,5128,"unknown process"
1962,"Uganda","United Kingdom",7016000,243411,"unknown process"
1962,"Burundi","Belgium",3025000,27834,"unknown process"
1962,"Rwanda","Belgium",2840000,26388,"unknown process"
1962,"Algeria","France",10900000,2381741,"unknown process"
1962,"Samoa","New Zealand",116000,2823,"unknown process"
1963,"Mexico","United States",100,2,"cession"
1963,"Kenya","United Kingdom",8847000,582646,"unknown process"
1963,"Pakistan","China",9136,1942,"cession"
1963,"Malaysia","United Kingdom",1733000,583,"unification"
